layer	MEM_GB	GB_WB	MEM_WB	MEM_FB	FB_PU	RUN_PU	total_cycle	d_GB	d_FB	d_WB	d_PU	d_NET	d_CTRL	total_dyn	s_GB	s_FB	d_WB	d_PU	d_NET	d_CTRL	total_static	total_energy
2	7269	1156	0	651283	452928	4415488	5528125	0.001233	0.011356	1.092581	5.919628	0.912420	0.218623	8.155841	0.232297	0.011116	0.025011	0.044658	0.003903	0.002335	0.319320	8.475161
3	14724	2308	0	164203	113088	2107392	2401716	0.002466	0.002841	0.527283	2.907780	0.444063	0.109311	3.993744	0.100923	0.004829	0.010866	0.019402	0.001696	0.001014	0.138730	4.132474
4	29360	4612	0	330248	189504	4114432	4668157	0.004931	0.005709	1.035510	4.443632	0.875978	0.109311	6.475071	0.196161	0.009387	0.021120	0.036725	0.003296	0.000986	0.267675	6.742746
5	58713	41508	0	83542	94464	2057216	2335444	0.018707	0.002494	0.518857	2.221808	0.437989	0.054656	3.254511	0.098138	0.004696	0.010566	0.018373	0.001649	0.000493	0.133915	3.388426
6	117395	392020	0	166568	344064	4114432	5134480	0.122063	0.009352	1.046399	4.113684	0.875978	0.054656	6.222132	0.215756	0.010324	0.023230	0.039852	0.003625	0.000542	0.293329	6.515461
7	117395	392020	0	166568	344064	4114432	5134480	0.122063	0.009352	1.046399	4.113684	0.875978	0.054656	6.222132	0.215756	0.010324	0.023230	0.039852	0.003625	0.000542	0.293329	6.515461
8	234176	133748	0	43432	170880	2057216	2639453	0.065982	0.004467	0.521449	2.056827	0.437989	0.027328	3.114042	0.110913	0.005307	0.011942	0.020486	0.001863	0.000279	0.150790	3.264832
9	468551	973132	0	85755	661248	4114432	6303119	0.325269	0.017922	1.062733	4.031262	0.875978	0.027328	6.340492	0.264863	0.012674	0.028517	0.048589	0.004450	0.000333	0.359426	6.699918
10	468551	973132	0	85755	661248	4114432	6303119	0.325269	0.017922	1.062733	4.031262	0.875978	0.027328	6.340492	0.264863	0.012674	0.028517	0.048589	0.004450	0.000333	0.359426	6.699918
11	468551	142972	0	22970	163008	1028608	1826110	0.097852	0.004422	0.262864	1.007800	0.218994	0.006832	1.598764	0.076735	0.003672	0.008262	0.014077	0.001289	0.000096	0.104131	1.702895
12	468551	142972	0	22970	163008	1028608	1826110	0.097852	0.004422	0.262864	1.007800	0.218994	0.006832	1.598764	0.076735	0.003672	0.008262	0.014077	0.001289	0.000096	0.104131	1.702895
13	468551	142972	0	22970	163008	1028608	1826110	0.097852	0.004422	0.262864	1.007800	0.218994	0.006832	1.598764	0.076735	0.003672	0.008262	0.014077	0.001289	0.000096	0.104131	1.702895
