layer	MEM_GB	GB_WB	MEM_WB	MEM_FB	FB_PU	RUN_PU	total_cycle	d_GB	d_FB	d_WB	d_PU	d_NET	d_CTRL	total_dyn	s_GB	s_FB	d_WB	d_PU	d_NET	d_CTRL	total_static	total_energy
2	7269	1156.000000	0.000000	651664.765000	452928.000000	4579115.547000	5692134.312000	0.001233	0.011356	1.061373	4.226038	0.901321	0.159028	6.360348	0.239189	0.011446	0.025753	0.045983	0.004019	0.002404	0.328794	6.689143
3	14724	2308.000000	0.000000	163884.129000	113088.000000	2074038.962000	2368044.091000	0.002466	0.002841	0.500380	2.127174	0.425132	0.080893	3.138885	0.099508	0.004762	0.010714	0.019130	0.001672	0.001000	0.136785	3.275671
4	29360	4612.000000	0.000000	328497.336000	189504.000000	3253251.224000	3805225.560000	0.004931	0.005709	0.798967	2.896958	0.678880	0.071709	4.457155	0.159899	0.007652	0.017216	0.029936	0.002686	0.000804	0.218194	4.675348
5	58713	41508.000000	0.000000	83556.357000	94464.000000	1662615.481000	1940857.838000	0.018707	0.002494	0.409832	1.566826	0.347274	0.038798	2.383932	0.081557	0.003903	0.008781	0.015269	0.001370	0.000410	0.111290	2.495222
6	117395	392020.000000	0.000000	167116.467000	344064.000000	3401826.088000	4422422.555000	0.122063	0.009352	0.847631	3.140655	0.710964	0.042049	4.872713	0.185835	0.008893	0.020009	0.034325	0.003122	0.000467	0.252650	5.125363
7	117395	392020.000000	0.000000	167133.768000	344064.000000	2909697.944000	3930311.712000	0.122063	0.009352	0.725956	2.702274	0.606978	0.036063	4.202686	0.165156	0.007903	0.017782	0.030506	0.002775	0.000415	0.224536	4.427222
8	234176	133748.000000	0.000000	43424.698000	170880.000000	1461755.653000	2043985.351000	0.065982	0.004467	0.362373	1.351560	0.304585	0.018058	2.107025	0.085890	0.004110	0.009248	0.015865	0.001443	0.000216	0.116772	2.223796
9	468551	973132.000000	0.000000	86385.370000	661248.000000	2568872.499000	4758189.869000	0.325269	0.017922	0.655532	2.464868	0.533374	0.016806	4.013771	0.199944	0.009568	0.021528	0.036680	0.003359	0.000251	0.271330	4.285100
10	468551	973132.000000	0.000000	86381.695000	661248.000000	2062517.204000	4251830.899000	0.325269	0.017922	0.529907	1.966859	0.426092	0.013358	3.279407	0.178666	0.008550	0.019237	0.032777	0.003002	0.000225	0.242455	3.521862
11	468551	142972.000000	0.000000	22997.033000	163008.000000	659970.489000	1457499.522000	0.097852	0.004422	0.165530	0.633782	0.137144	0.004322	1.043052	0.061246	0.002931	0.006594	0.011236	0.001029	0.000077	0.083112	1.126164
12	468551	142972.000000	0.000000	22995.378000	163008.000000	604748.739000	1402276.117000	0.097852	0.004422	0.151588	0.578983	0.125287	0.003946	0.962078	0.058925	0.002820	0.006344	0.010810	0.000990	0.000074	0.079963	1.042041
13	468551	142972.000000	0.000000	22998.358000	163008.000000	427776.553000	1225306.911000	0.097852	0.004422	0.106889	0.403287	0.087271	0.002742	0.702463	0.051489	0.002464	0.005544	0.009446	0.000865	0.000065	0.069872	0.772334
