layer	calculated	total	ratio
2	27210961	51380224	0.529600
3	13288056	25690112	0.517244
4	11701430	25690112	0.455484
5	6826404	12845056	0.531442
6	6374188	12845056	0.496237
7	5339098	12845056	0.415654
8	2759672	6422528	0.429686
9	2517710	6422528	0.392012
10	2086408	6422528	0.324858
11	656783	1605632	0.409050
12	660720	1605632	0.411502
13	457387	1605632	0.284864
sum	79878817	165380096	0.483001
