layer	calculated	total	ratio
2	25690112	51380224	0.500000
3	12845056	25690112	0.500000
4	12845056	25690112	0.500000
5	6422528	12845056	0.500000
6	6422528	12845056	0.500000
7	6422528	12845056	0.500000
8	3211264	6422528	0.500000
9	3211264	6422528	0.500000
10	3211264	6422528	0.500000
11	802816	1605632	0.500000
12	802816	1605632	0.500000
13	802816	1605632	0.500000
sum	13	82690048	165380096	0.500000
