layer	calculated	total	ratio
2	23927657	51380224	0.465698
3	14408102	25690112	0.560842
4	10702665	25690112	0.416606
5	6337114	12845056	0.493350
6	3887175	12845056	0.302620
7	2387141	12845056	0.185841
8	1716022	6422528	0.267188
9	1530537	6422528	0.238308
10	1040341	6422528	0.161983
11	300984	1605632	0.187455
12	307023	1605632	0.191216
13	350305	1605632	0.218173
sum	13	66895066	165380096	0.404493
