layer	MEM_GB	GB_WB	MEM_WB	MEM_FB	FB_PU	RUN_PU	total_cycle	d_GB	d_FB	d_WB	d_PU	d_NET	d_CTRL	total_dyn	s_GB	s_FB	d_WB	d_PU	d_NET	d_CTRL	total_static	total_energy
2	7269	1156	0	651866	452928	4979145	6092365	0.001233	0.011356	1.169412	4.791807	0.992664	0.179939	7.146411	0.256007	0.012251	0.027564	0.049217	0.004301	0.002573	0.351913	7.498324
3	14724	2308	0	163205	113088	2402827	2696153	0.002466	0.002841	0.586357	2.695698	0.497761	0.102337	3.887460	0.113295	0.005421	0.012198	0.021781	0.001903	0.001139	0.155737	4.043197
4	29360	4612	0	328720	189504	3525878	4078075	0.004931	0.005709	0.871194	3.113343	0.739790	0.076837	4.811804	0.171365	0.008200	0.018451	0.032083	0.002879	0.000861	0.233839	5.045643
5	58713	41508	0	83622	94464	2060570	2338878	0.018707	0.002494	0.511619	1.815365	0.433622	0.044845	2.826652	0.098282	0.004703	0.010582	0.018400	0.001651	0.000494	0.134112	2.960764
6	117395	392020	0	166986	344064	2504526	3524992	0.122063	0.009352	0.625267	2.218845	0.521284	0.029517	3.526328	0.148124	0.007088	0.015948	0.027360	0.002489	0.000372	0.201381	3.727709
7	117395	392020	0	167217	344064	1793063	2813760	0.122063	0.009352	0.448184	1.552409	0.370066	0.020485	2.522559	0.118237	0.005658	0.012730	0.021839	0.001987	0.000297	0.160748	2.683307
8	234176	133748	0	43450	170880	1124433	1706688	0.065982	0.004467	0.280062	1.012106	0.234026	0.013416	1.610059	0.071717	0.003432	0.007722	0.013247	0.001205	0.000180	0.097503	1.707562
9	468551	973132	0	86096	661248	1862282	4051310	0.325269	0.017922	0.483449	1.776592	0.385833	0.011995	3.001060	0.170240	0.008146	0.018329	0.031231	0.002860	0.000214	0.231020	3.232080
10	468551	973132	0	86269	661248	1434186	3623387	0.325269	0.017922	0.379108	1.358796	0.296238	0.009081	2.386414	0.152258	0.007286	0.016393	0.027932	0.002558	0.000191	0.206618	2.593032
11	468551	142972	0	23074	163008	400732	1198338	0.097852	0.004422	0.102496	0.381315	0.083051	0.002557	0.671693	0.050355	0.002410	0.005422	0.009238	0.000846	0.000063	0.068334	0.740027
12	468551	142972	0	23171	163008	401617	1199320	0.097852	0.004422	0.103455	0.383578	0.083700	0.002563	0.675570	0.050397	0.002412	0.005426	0.009245	0.000847	0.000063	0.068390	0.743960
13	468551	142972	0	23037	163008	444216	1241785	0.097852	0.004422	0.114809	0.426796	0.093182	0.002853	0.739914	0.052181	0.002497	0.005618	0.009573	0.000877	0.000066	0.070812	0.810726
