layer	calculated	total	ratio
2	27295744	51380224	0.531250
3	13647872	25690112	0.531250
4	13647872	25690112	0.531250
5	6823936	12845056	0.531250
6	6823936	12845056	0.531250
7	6823936	12845056	0.531250
8	3411968	6422528	0.531250
9	3411968	6422528	0.531250
10	3411968	6422528	0.531250
11	852992	1605632	0.531250
12	852992	1605632	0.531250
13	852992	1605632	0.531250
sum	13	87858176	165380096	0.531250
