layer	calculated	total	ratio
2	20008340	51380224	0.389417
3	12107081	25690112	0.471274
4	9051840	25690112	0.352347
5	5148366	12845056	0.400805
6	2847073	12845056	0.221647
7	1461197	12845056	0.113756
8	884182	6422528	0.137669
9	903816	6422528	0.140726
10	841037	6422528	0.130951
11	186895	1605632	0.116400
12	280672	1605632	0.174805
13	375144	1605632	0.233643
sum	13	54095643	165380096	0.327099
