layer	calculated	total	ratio
2	33386636	51380224	0.649795
3	16899230	25690112	0.657811
4	15220182	25690112	0.592453
5	8738690	12845056	0.680315
6	8073021	12845056	0.628492
7	7203962	12845056	0.560835
8	3735368	6422528	0.581604
9	3488517	6422528	0.543169
10	3018235	6422528	0.469945
11	901649	1605632	0.561554
12	897481	1605632	0.558958
13	697287	1605632	0.434276
sum	13	102260258	165380096	0.618335
