layer	calculated	total	ratio
2	26611905	51380224	0.517941
3	13296509	25690112	0.517573
4	11559764	25690112	0.449969
5	6702474	12845056	0.521794
6	6412865	12845056	0.499248
7	5307534	12845056	0.413197
8	2729867	6422528	0.425046
9	2487381	6422528	0.387290
10	2054888	6422528	0.319950
11	648010	1605632	0.403586
12	650933	1605632	0.405406
13	447009	1605632	0.278401
sum	78909139	165380096	0.477138
